,date,temperature_2m,temperature_2m_previous_day1,direct_normal_irradiance_instant,direct_normal_irradiance_instant_previous_day1,shortwave_radiation,shortwave_radiation_previous_day1,wind_speed_80m,wind_speed_80m_previous_day1,wind_direction_80m,wind_direction_80m_previous_day1,latitude,longitude
0,2025-01-01 00:00:00+00:00,3.594,4.094,0.0,0.0,0.0,0.0,34.858707,35.670895,218.2902,227.45407,54.92,23.85
1,2025-01-01 01:00:00+00:00,3.144,3.694,0.0,0.0,0.0,0.0,37.67809,37.84283,225.77412,235.85637,54.92,23.85
2,2025-01-01 02:00:00+00:00,2.894,2.9940002,0.0,0.0,0.0,0.0,38.939953,37.24043,236.3099,240.4613,54.92,23.85
3,2025-01-01 03:00:00+00:00,2.4940002,2.344,0.0,0.0,0.0,0.0,39.45245,39.8447,244.60413,235.30478,54.92,23.85
4,2025-01-01 04:00:00+00:00,2.0440001,1.8939999,0.0,0.0,0.0,0.0,31.942772,35.647274,230.02913,213.04813,54.92,23.85
5,2025-01-01 05:00:00+00:00,1.9940001,1.9940001,0.0,0.0,0.0,0.0,35.364388,40.392254,218.38657,216.66573,54.92,23.85
6,2025-01-01 06:00:00+00:00,2.194,2.194,0.0,0.0,0.0,0.0,36.424103,40.03129,227.00253,221.71902,54.92,23.85
7,2025-01-01 07:00:00+00:00,2.644,2.144,0.0,0.0,0.0,0.0,39.205303,39.97297,224.25603,226.0946,54.92,23.85
8,2025-01-01 08:00:00+00:00,2.844,2.0440001,0.0,0.0,2.0,2.0,38.948273,41.04789,224.62556,228.19963,54.92,23.85
9,2025-01-01 09:00:00+00:00,3.194,2.444,0.0,0.0,7.0,6.0,40.729347,41.62478,224.9999,229.56003,54.92,23.85
10,2025-01-01 10:00:00+00:00,3.444,2.194,0.0,0.0,8.0,9.0,43.34974,43.11141,228.36655,228.72415,54.92,23.85
11,2025-01-01 11:00:00+00:00,3.4940002,2.394,0.0,0.0,7.0,8.0,43.057266,45.216915,227.37187,232.76509,54.92,23.85
12,2025-01-01 12:00:00+00:00,3.594,2.9940002,0.0,0.0,5.0,7.0,44.645805,43.516838,232.206,231.04408,54.92,23.85
